EXP;CIT;DEP;S_DATE;TIME;AVG_AMB_CO2;AVG_INC_CO2;N_AMB_CO2;N_INC_CO2
ArizonaFACE - wheat - high N;Leavitt et al. 2001;15;1995;0;1344;1228;4;4
ArizonaFACE - wheat - high N;Leavitt et al. 2001;15;1996;0.5;1363;1305;4;4
ArizonaFACE - wheat - high N;Leavitt et al. 2001;15;1996;1;1254;1264;4;4
ArizonaFACE - wheat - high N;Leavitt et al. 2001;15;1997;1.5;1258;1400;4;4
Biosphere 2;Trueman and  Gonzalez-Meler 2005;25;1999;0;5950;6362;1;1
Biosphere 2;Trueman and  Gonzalez-Meler 2005;25;2000;1;5254;4735;1;1
Biosphere 2;Trueman and  Gonzalez-Meler 2005;25;2001;2;6084;4785;1;1
Biosphere 2;Trueman and  Gonzalez-Meler 2005;25;2002;3;5470;4064;1;1
Biosphere 2;Trueman and  Gonzalez-Meler 2005;25;2003;4;5335;4220;1;1
China FACE - low N;Zhong et al. 2009;15;2008;3.66;1937;2192;3;3
China FACE - low N;Zhong et al. 2009;15;2008;4;1937;2123;3;3
China FACE - high N;Zhong et al. 2009;15;2008;3.66;1926;2135;3;3
China FACE - high N;Zhong et al. 2009;15;2008;4;1937;2105;3;3
China OTC - low N;Liu et al. 2010;20;2005;0.33;1103;1168;2;3
China OTC - low N;Liu et al. 2010;20;2005;0.67;1036;1097;2;3
China OTC - low N;Liu et al. 2010;20;2006;1;1936;2385;2;3
China OTC - low N;Liu et al. 2010;20;2006;1.33;2319;2218;2;3
China OTC - low N;Liu et al. 2010;20;2006;1.66;2060;2051;2;3
China OTC - low N;Liu et al. 2010;20;2007;2;2431;2301;2;3
China OTC - low N;Liu et al. 2010;20;2007;2.33;2263;2361;2;3
China OTC - low N;Liu et al. 2010;20;2007;2.66;2116;2158;2;3
China OTC - low N;Liu et al. 2010;20;2008;3;3625;3315;2;3
China OTC - low N;Liu et al. 2010;20;2008;3.33;3253;3279;2;3
China OTC - low N;Liu et al. 2010;20;2008;3.66;3287;3410;2;3
China OTC - high N;Liu et al. 2010;20;2005;0.33;1201;1198;2;3
China OTC - high N;Liu et al. 2010;20;2005;0.67;922;1409;2;3
China OTC - high N;Liu et al. 2010;20;2006;1;1930;2373;2;3
China OTC - high N;Liu et al. 2010;20;2006;1.33;1951;2514;2;3
China OTC - high N;Liu et al. 2010;20;2006;1.66;1587;3054;2;3
China OTC - high N;Liu et al. 2010;20;2007;2;2015;3030;2;3
China OTC - high N;Liu et al. 2010;20;2007;2.33;2273;2725;2;3
China OTC - high N;Liu et al. 2010;20;2007;2.66;2187;2702;2;3
China OTC - high N;Liu et al. 2010;20;2008;3;3602;3947;2;3
China OTC - high N;Liu et al. 2010;20;2008;3.33;3581;4170;2;3
China OTC - high N;Liu et al. 2010;20;2008;3.66;3645;4158;2;3
FACTS I;Lichter et al. 2008;15;1996;0;1977;2142;3;3
FACTS I;Lichter et al. 2008;15;1999;3.17;1902;2208;3;3
FACTS I;Lichter et al. 2008;15;2002;6;2407;2734;3;3
FACTS I;Lichter et al. 2008;15;2006;9;2164;2096;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2001;4;3575;3562;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2003;6;3625;4435;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2004;7;3235;3243;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2005;8;3741;3506;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2006;9;4243;3841;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2007;10;4374;3760;3;3
FACTS II - Aspen;Talhelm et al. 2009;10;2008;11;5119;3267;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2001;4;3193;3199;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2003;6;3081;3433;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2004;7;3418;2804;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2005;8;3886;2890;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2006;9;4073;3444;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2007;10;4382;3268;3;3
FACTS II - Aspen (+O3);Talhelm et al. 2009;10;2008;11;4783;3141;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2001;4;3256;3817;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2003;6;3347;3274;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2004;7;3408;3457;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2005;8;3653;3436;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2006;9;4433;4196;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2007;10;4125;3832;3;3
FACTS II - Aspen/Birch;Talhelm et al. 2009;10;2008;11;3484;3946;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2001;4;3305;3121;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2003;6;4105;3798;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2004;7;2943;3255;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2005;8;3578;3351;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2006;9;4083;4064;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2007;10;3909;4290;3;3
FACTS II - Aspen/Birch (+O3);Talhelm et al. 2009;10;2008;11;4113;3849;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2001;4;2908;3541;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2003;6;3327;3186;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2004;7;3135;3270;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2005;8;4206;3960;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2006;9;4023;3850;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2007;10;4014;4450;3;3
FACTS II - Aspen/Mapel;Talhelm et al. 2009;10;2008;11;3948;4675;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2001;4;3449;3334;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2003;6;3512;2961;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2004;7;3321;3240;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2005;8;3564;3376;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2006;9;4115;3739;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2007;10;3982;3737;3;3
FACTS II - Aspen/Mapel (+O3);Talhelm et al. 2009;10;2008;11;4093;3723;3;3
GiFACE;Lenhart 2008;7.5;1998;0;3420;3528;3;3
GiFACE;Lenhart 2008;7.5;2007;9.08;3150;3096;3;3
Hohenheim;Marhan et al. 2010;10;2004;2;1725;1767;5;5
Hohenheim;Marhan et al. 2010;10;2004;2.5;1707;1641;5;5
Hohenheim;Marhan et al. 2010;10;2005;3;1805;1744;5;5
Hohenheim;Marhan et al. 2010;10;2005;3.5;1567;1588;5;5
Hohenheim;Marhan et al. 2010;10;2006;4;1680;1717;5;5
Hohenheim;Marhan et al. 2010;10;2006;4.5;1721;1763;5;5
Jasper Ridge - sandstone;Hungate et al. 1997;15;1992;0;2646;2646;10;10
Jasper Ridge - sandstone;Hungate et al. 1997;15;1993;1.41;2646;2354;10;10
Jasper Ridge - sandstone;Hungate et al. 1997;15;1994;2.41;2252;2339;10;10
Jasper Ridge - sandstone;Hungate et al. 1997;15;1995;3.41;2315;2315;10;10
Jasper Ridge - sandstone;Hungate et al. 1997;15;1996;4.41;2497;2486;10;10
Jasper Ridge - sandstone;Hungate et al. 1997;15;1997;5.41;2612;2750;10;10
JRGCE - Control;Hungate et al. unpublished;15;2000;2;2384;2344;6;6
JRGCE - Control;Hungate et al. unpublished;15;2006;8;2428;2173;6;6
JRGCE - Burn;Hungate et al. unpublished;15;2000;2;2296;2497;4;4
JRGCE - Burn;Hungate et al. unpublished;15;2006;8;2544;2269;4;4
JRGCE - N;Hungate et al. unpublished;15;2000;2;2248;2381;6;6
JRGCE - N;Hungate et al. unpublished;15;2006;8;2552;2329;6;6
JRGCE - N x Burn;Hungate et al. unpublished;15;2000;2;2359;2425;4;4
JRGCE - N x Burn;Hungate et al. unpublished;15;2006;8;2529;2226;4;4
JRGCE - Water;Hungate et al. unpublished;15;2000;2;2292;2268;6;6
JRGCE - Water;Hungate et al. unpublished;15;2006;8;2311;2085;6;6
JRGCE - Water x Burn;Hungate et al. unpublished;15;2000;2;2394;2563;4;4
JRGCE - Water x Burn;Hungate et al. unpublished;15;2006;8;2396;2301;4;4
JRGCE - Water x N;Hungate et al. unpublished;15;2000;2;2193;2264;6;6
JRGCE - Water x N;Hungate et al. unpublished;15;2006;8;2626;2442;6;6
JRGCE - Water x N x Burn;Hungate et al. unpublished;15;2000;2;2251;2569;4;4
JRGCE - Water x N x Burn;Hungate et al. unpublished;15;2006;8;2232;2385;4;4
JRGCE - Heat;Hungate et al. unpublished;15;2000;2;2298;2295;6;6
JRGCE - Heat;Hungate et al. unpublished;15;2006;8;2385;2438;6;6
JRGCE - Heat x N;Hungate et al. unpublished;15;2000;2;2288;2454;6;6
JRGCE - Heat x N;Hungate et al. unpublished;15;2006;8;2283;2449;6;6
JRGCE - Heat x Water;Hungate et al. unpublished;15;2000;2;2327;2310;6;6
JRGCE - Heat x Water;Hungate et al. unpublished;15;2006;8;2074;2414;6;6
JRGCE - Heat x Water x N;Hungate et al. unpublished;15;2000;2;2393;2453;6;6
JRGCE - Heat x Water x N;Hungate et al. unpublished;15;2006;8;2110;2407;6;6
Merritt Island;Hungate unpublished;10;1996;0.62;1209;1335;8;8
Merritt Island;Hungate unpublished;10;1998;2.09;1131;1220;8;8
Merritt Island;Hungate unpublished;10;1998;2.17;1264;1292;8;8
Merritt Island;Hungate unpublished;10;1998;2.31;1356;1281;8;8
Merritt Island;Carney et al. 2007;10;1998;2.55;1734;1567;8;8
Merritt Island;Carney et al. 2007;10;1999;3.36;1782;1712;8;8
Merritt Island;Carney et al. 2007;10;2001;4.87;2191;1941;8;8
Merritt Island;Carney et al. 2007;10;2002;6;2099;1741;8;8
Merritt Island;Langley et al. 2009;10;2002;6;1999;1628;8;8
Merritt Island;McKinley et al. unpublished;10;2007;11;1512;1411;8;8
NewZealandFACE;Ross et al. 2004;5;1997;0;2685;2465;3;3
NewZealandFACE;Ross et al. 2004;5;1998;1;2650;2490;3;3
NewZealandFACE;Ross et al. 2004;5;1999;2;2655;2525;3;3
NewZealandFACE;Ross et al. 2004;5;2000;3;2675;2565;3;3
NewZealandFACE;Ross et al. 2004;5;2001;4;2515;2445;3;3
NewZealandFACE;Ross et al. 2004;5;2002;5;2585;2490;3;3
NewZealandFACE;Ross et al. 2013;5;2003;6;2519;2510;3;3
NewZealandFACE;Ross et al. 2013;5;2004;7;2599;2534;3;3
NewZealandFACE;Ross et al. 2013;5;2005;8;2659;2659;3;3
NewZealandFACE;Ross et al. 2013;5;2006;9;2657;2722;3;3
NewZealandFACE;Ross et al. 2013;5;2007;10;2722;2822;3;3
New Zealand Greenhouse;Ross et al. 1995;5;-;0;2112.2;2122.4;1;1
New Zealand Greenhouse;Ross et al. 1995;5;-;0.25;2122.4;2142.9;1;1
New Zealand Greenhouse;Ross et al. 1995;5;-;0.5;1969.4;1979.6;1;1
New Zealand Greenhouse;Ross et al. 1995;5;-;0.75;1969.4;2000;1;1
New Zealand OTC - P. radiata;Ross et al. 2006;10;1994;0;100;100;2;2
New Zealand OTC - P. radiata;Ross et al. 2006;10;2000;6;412;530;2;2
New Zealand OTC - N. fusca;Ross et al. 2006;10;1994;0;100;100;3;3
New Zealand OTC - N. fusca;Ross et al. 2006;10;2000;6;2403;3402;3;3
ORNL FACE;Jastrow et al. 2005;15;1997;0;2672;2791;3;2
ORNL FACE;Jastrow et al. 2005;15;2000;2.42;2785;2866;3;2
ORNL FACE;Jastrow et al. 2005;15;2002;4.33;2730;2991;3;2
ORNL FACE;Iversen et al. 2012;15;2009;11;3370;3850;3;2
Placerville - low N;Johnson et al. 2006;30;1991;0;8400;8000;3;3
Placerville - low N;Johnson et al. 2006;30;1993;1.75;7600;7600;3;3
Placerville - low N;Johnson et al. 2006;30;1996;5.5;7400;7600;3;3
Placerville - medium N;Johnson et al. 2006;30;1991;0;7800;7900;3;3
Placerville - medium N;Johnson et al. 2006;30;1993;1.75;7700;7800;3;3
Placerville - medium N;Johnson et al. 2006;30;1996;5.5;7400;8300;3;3
Placerville - high N;Johnson et al. 2006;30;1991;0;8100;7500;3;3
Placerville - high N;Johnson et al. 2006;30;1993;1.75;7500;8500;3;3
Placerville - high N;Johnson et al. 2006;30;1996;5.5;7400;8100;3;3
POPFACE - alba;Hoosbeek et al. 2009;10;1999;0;1320;1128;3;3
POPFACE - alba;Hoosbeek et al. 2009;10;2000;1;1365;1195;3;3
POPFACE - alba;Hoosbeek et al. 2009;10;2001;2;1524;1295;3;3
POPFACE - alba;Hoosbeek et al. 2009;10;2003;4;1629;1377;3;3
POPFACE - alba;Hoosbeek et al. 2009;10;2004;5;1647;1480;3;3
POPFACE - euramericana;Hoosbeek et al. 2009;10;1999;0;1252;1165;3;3
POPFACE - euramericana;Hoosbeek et al. 2009;10;2000;1;1429;1213;3;3
POPFACE - euramericana;Hoosbeek et al. 2009;10;2001;2;1405;1084;3;3
POPFACE - euramericana;Hoosbeek et al. 2009;10;2003;4;1635;1431;3;3
POPFACE - euramericana;Hoosbeek et al. 2009;10;2004;5;1686;1370;3;3
POPFACE - nigra;Hoosbeek et al. 2009;10;1999;0;1379;1149;3;3
POPFACE - nigra;Hoosbeek et al. 2009;10;2000;1;1458;1169;3;3
POPFACE - nigra;Hoosbeek et al. 2009;10;2001;2;1534;1112;3;3
POPFACE - nigra;Hoosbeek et al. 2009;10;2003;4;1518;1246;3;3
POPFACE - nigra;Hoosbeek et al. 2009;10;2004;5;1509;1344;3;3
Shortgrass prairie;Pendall et al. 2004;5;1995;0;617;645;3;3
Shortgrass prairie;Pendall et al. 2004;5;1997;1;527;542;3;3
Shortgrass prairie;Pendall et al. 2004;5;1998;2;488;522;3;3
Shortgrass prairie;Pendall et al. 2004;5;1999;3;618;616;3;3
Shortgrass prairie;Pendall et al. 2004;5;2000;4;603;593;3;3
SoyFACE;Moran and Jastrow 2010;12.5;2001;0;4803;4142;3;3
SoyFACE;Moran and Jastrow 2010;12.5;2006;5;4671;4100;3;3
SoyFACE;Moran and Jastrow 2010;12.5;2007;6;4437;3836;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;1995;2;2878;2862;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;1996;3;2796;3584;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;1997;4;2855;2790;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;1998;5;3305;3368;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;1999;6;2970;2946;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;2000;7;2606;2759;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;2001;8;3733;3834;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;2002;9;3350;3498;3;3
SwissFACE- grass - low N;Van Kessel et al. 2006;10;2003;10;3293;3198;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;1995;2;3528;3223;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;1996;3;3052;3892;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;1997;4;3075;3091;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;1998;5;3494;3606;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;1999;6;2986;3045;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;2000;7;2920;2588;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;2001;8;3434;3114;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;2002;9;3302;3439;3;3
SwissFACE- grass - high N;Van Kessel et al. 2006;10;2003;10;3258;3332;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;1995;2;2822;2872;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;1996;3;3048;3500;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;1997;4;2862;2931;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;1998;5;3034;3291;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;1999;6;2758;2911;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;2000;7;2544;2987;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;2001;8;3443;3145;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;2002;9;3053;3591;3;3
SwissFACE- clover - low N;Van Kessel et al. 2006;10;2003;10;2999;3076;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;1995;2;2916;3496;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;1996;3;3256;3688;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;1997;4;2725;2996;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;1998;5;3233;3406;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;1999;6;2759;3153;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;2000;7;2630;2434;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;2001;8;3528;3572;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;2002;9;3209;3456;3;3
SwissFACE- clover - high N;Van Kessel et al. 2006;10;2003;10;2993;3236;3;3
Swiss Greenhouse;Körner and Arnone 1992;20;-;0;1280;1280;2;2
Swiss Greenhouse;Körner and Arnone 1992;20;-;0.25;1205;980;2;2
Tallgrass Prairie;Rice et al. 1994;5;1992;2.5;2985;2860;3;3
Tallgrass Prairie;Williams et al. 2000;5;1996;8;2181;2372;3;3
UMBS - aspen;Zak et al. 1993;15;1991;0;297;297;4;4
UMBS - aspen;Zak et al. 1993;15;1991;0.5;242;290;4;4
WSL - loam - low N;Hagedorn et al. 2001;10;1995;0;1290;1290;4;4
WSL - loam - low N;Hagedorn et al. 2001;10;1998;3.75;1317;1471;4;4
WSL - loam - high N;Hagedorn et al. 2001;10;1995;0;1290;1290;4;4
WSL - loam - high N;Hagedorn et al. 2001;10;1998;3.75;1482;1547;4;4
WSL - sand - low N;Hagedorn et al. 2001;10;1995;0;1310;1310;4;4
WSL - sand - low N;Hagedorn et al. 2001;10;1998;3.75;1167;1214;4;4
WSL - sand - high N;Hagedorn et al. 2001;10;1995;0;1310;1310;4;4
WSL - sand - high N;Hagedorn et al. 2001;10;1998;3.75;1120;1183;4;4
